time,humidity_mean,humidity_median,humidity_max,humidity_p75,tcc_mean,tcc_median,tcc_max,tcc_p75,temp_mean,temp_median,temp_max,temp_p75,tp_mm_mean_aw,tp_mm_median,tp_mm_max,tp_mm_p75,tp_frac_gt_0.1,Kp,ap,keogram_mean,keogram_median,keogram_max
2018-01-15 15:00:00,88.21871185302734,87.28091430664062,93.29019165039062,90.52505493164062,0.9976336359977722,0.9999999403953552,0.9999999403953552,0.9999999403953552,-7.352359294891357,-4.529388427734375,-1.414398193359375,-3.268157958984375,0.1972803839268119,0.1923904865980148,0.465968370437622,0.3713385462760925,0.5555555555555556,2.0,7.0,18.86,18.66,42.73
2018-01-15 17:00:00,89.3748779296875,89.16709899902344,92.94627380371094,90.80162048339844,0.965331494808197,0.9930121898651124,1.0000007152557373,1.0000007152557373,-6.855641841888428,-4.766204833984375,-2.120941162109375,-2.827239990234375,0.2433059247841788,0.1964747607707977,0.6996870040893555,0.319200724363327,0.7777777777777778,2.0,7.0,18.65,16.51,43.09
2018-01-16 02:00:00,90.65404510498048,91.23747253417967,92.95549011230467,92.18571472167967,0.6393793821334839,0.6107844114303589,0.9948328733444214,0.9398859739303588,-7.000498294830322,-7.654876708984375,-3.194183349609375,-4.112152099609375,0.0116442429455084,0.0054296106100082,0.048571266233921,0.0105770304799079,0.0,2.0,7.0,20.59,17.59,221.9
2018-01-16 09:00:00,95.79539489746094,95.91355895996094,97.24571228027344,96.54905700683594,0.775185763835907,0.7787919044494629,0.9999985694885254,0.9999985694885254,-10.89763355255127,-11.313079833984377,-6.534027099609375,-8.350677490234375,0.0018087520003446,0.0020721927285194,0.0034496188163757,0.0029596267268061,0.0,1.333,5.0,37.27,25.41,212.6
2018-01-16 10:00:00,95.77000427246094,95.94105529785156,98.30140686035156,96.79005432128906,0.8793566226959229,0.9828408360481262,0.9999993443489076,0.9999993443489076,-10.81020450592041,-11.270843505859377,-5.770355224609375,-9.179046630859377,0.0042185635654396,0.0021266750991344,0.0201738439500331,0.0043013133108615,0.0,1.333,5.0,32.86,28.87,189.1
2018-01-16 11:00:00,95.25760650634766,95.8978271484375,97.2998046875,96.465576171875,0.9109413623809814,0.999999225139618,0.999999225139618,0.999999225139618,-10.377994537353516,-10.631683349609377,-6.212493896484375,-8.843841552734375,0.0083921926614267,0.0035517888609319,0.0413085371255874,0.0046013891696929,0.0,1.333,5.0,18.55,16.82,109.34
2018-01-16 17:00:00,90.35425567626952,89.69047546386719,93.4197235107422,92.35514831542967,1.0,1.0,1.0,1.0,-9.725053787231444,-8.383636474609375,-5.941009521484375,-8.141448974609375,0.0059855905989389,0.0069881789386272,0.0217496417462825,0.0070910900831222,0.0,0.667,3.0,26.41,18.73,91.66
2018-01-18 02:00:00,82.10482788085938,81.67245483398438,88.99569702148438,84.88705444335938,0.8887597322463989,0.9550964832305908,1.0000030994415283,0.9776642322540284,-6.166730880737305,-6.212249755859375,-4.057830810546875,-5.514251708984375,0.0012176703510622,0.0,0.0112170819193124,1.4435499906539915e-05,0.0,0.0,0.0,21.63,18.46,55.87
2018-01-18 17:00:00,92.93975830078124,93.03289794921876,94.64556884765624,93.33319091796876,0.9243120551109314,0.9745287299156188,0.9908251166343688,0.9837679266929626,-5.750051021575928,-5.830535888671875,-3.809051513671875,-4.465911865234375,0.0130339878400771,0.0073724975809454,0.0265544839203357,0.024360753595829,0.0,0.333,2.0,26.25,21.67,66.8
2018-01-19 02:00:00,95.7213363647461,96.0508270263672,98.86125183105467,97.3711395263672,0.9822018146514891,0.9960402250289916,0.9999998807907104,0.9969977140426636,-6.899593830108643,-6.605926513671875,-5.922882080078125,-6.453765869140625,0.032678265191977,0.0201368574053049,0.0941620990633964,0.0533105656504631,0.0,1.333,5.0,23.02,17.62,60.73
