segment,mean,median,max,sunlight_contamination
2019-01-16-2,26.46,21.97,131.11,0
2019-01-16-3,8.98,8.53,24.09,0
2019-01-16-4,8.32,8.40,26.50,0
2019-01-16-5,8.20,8.23,25.60,0
2019-01-16-6,20.89,22.07,51.57,0
2019-01-16-7,15.05,13.39,40.03,0
2019-01-16-8,9.68,9.48,25.58,0
2019-01-16-9,8.18,8.00,25.93,0
2019-01-16-10,0.00,0.00,0.00,0
2019-01-16-11,0.00,0.00,0.00,0
2019-01-16-12,0.00,0.00,0.00,0
2019-01-16-13,0.00,0.00,0.00,0
2019-01-16-14,0.00,0.00,0.00,0
2019-01-16-15,0.00,0.00,0.00,0
2019-01-16-16,0.00,0.00,0.00,0
2019-01-16-17,20.31,17.41,142.26,0
2019-01-16-18,0.68,0.00,71.92,0
2019-01-16-19,0.00,0.00,0.00,0
2019-01-16-20,0.00,0.00,0.00,0
2019-01-16-21,0.00,0.00,0.00,0
2019-01-16-22,0.00,0.00,0.00,0
2019-01-16-23,0.00,0.00,0.00,0
2019-01-17-0,0.00,0.00,0.00,0
2019-01-17-1,0.00,0.00,0.00,0
2019-01-17-2,17.44,20.22,36.13,0
2019-01-17-3,15.40,14.89,28.14,0
2019-01-17-4,15.52,14.53,29.45,0
2019-01-17-5,13.57,13.93,25.76,0
2019-01-17-6,11.07,11.32,26.80,0
2019-01-17-7,10.52,10.42,25.02,0
2019-01-17-8,10.45,10.15,24.08,0
2019-01-17-9,10.90,10.48,25.36,0
2019-01-17-10,11.13,10.37,26.65,0
2019-01-17-11,10.52,9.13,31.26,0
2019-01-17-12,10.13,8.48,28.43,0
2019-01-17-13,13.44,11.29,247.70,0
2019-01-17-14,8.17,6.47,233.00,0
2019-01-17-15,9.12,7.08,85.31,0
2019-01-17-16,19.78,15.91,89.33,0
2019-01-17-17,25.85,25.27,101.04,0
2019-01-17-18,0.00,0.00,0.00,0
2019-01-17-19,0.00,0.00,0.00,0
2019-01-17-20,0.00,0.00,0.00,0
2019-01-17-21,0.00,0.00,0.00,0
2019-01-17-22,0.00,0.00,0.00,0
2019-01-17-23,0.00,0.00,0.00,0
2019-01-18-0,0.00,0.00,0.00,0
2019-01-18-1,0.00,0.00,0.00,0
2019-01-18-2,19.00,20.19,245.99,0
2019-01-18-3,21.82,18.73,248.84,0
2019-01-18-4,15.63,14.63,30.25,0
2019-01-18-5,15.26,14.61,29.66,0
2019-01-18-6,14.45,14.94,28.98,0
2019-01-18-7,13.23,13.56,27.56,0
2019-01-18-8,12.89,12.96,27.21,0
2019-01-18-9,12.73,12.56,27.92,0
2019-01-18-10,28.60,21.06,151.83,0
2019-01-18-11,54.41,55.85,116.87,0
2019-01-18-12,22.79,21.66,59.92,0
2019-01-18-13,13.17,12.03,218.06,0
2019-01-18-14,0.00,0.00,0.00,0
2019-01-18-15,0.00,0.00,0.00,0
2019-01-18-16,0.00,0.00,0.00,0
2019-01-18-17,0.00,0.00,0.00,0
2019-01-18-18,0.00,0.00,0.00,0
2019-01-18-19,0.00,0.00,0.00,0
2019-01-18-20,0.00,0.00,0.00,0
2019-01-18-21,0.00,0.00,0.00,0
2019-01-18-22,0.00,0.00,0.00,0
2019-01-18-23,0.00,0.00,0.00,0
2019-01-19-0,0.00,0.00,0.00,0
2019-01-19-1,0.00,0.00,0.00,0
2019-01-19-2,7.20,0.00,29.25,0
2019-01-19-3,14.82,18.77,27.46,1
2019-01-19-4,10.59,7.47,26.06,1
2019-01-19-5,10.12,7.30,25.70,1
2019-01-19-6,10.43,7.60,25.23,1
2019-01-19-7,11.10,8.31,25.70,1
2019-01-19-8,15.17,12.38,31.71,1
2019-01-19-9,10.04,8.44,26.81,1
2019-01-19-10,10.87,8.30,27.66,1
2019-01-19-11,10.53,8.51,25.29,1
2019-01-19-12,9.76,7.25,26.10,1
2019-01-19-13,14.68,16.46,28.27,1
2019-01-19-14,18.87,20.88,28.16,0
2019-01-19-15,15.76,16.62,27.23,0
2019-01-19-16,9.67,10.02,22.02,0
2019-01-19-17,19.31,17.01,42.22,0
2019-01-19-18,0.00,0.00,0.00,0
2019-01-19-19,0.00,0.00,0.00,0
2019-01-19-20,0.00,0.00,0.00,0
2019-01-19-21,0.00,0.00,0.00,0
2019-01-19-22,0.00,0.00,0.00,0
2019-01-19-23,0.00,0.00,0.00,0
2019-01-20-0,0.00,0.00,0.00,0
2019-01-20-1,1.01,0.00,224.48,0
2019-01-20-2,65.16,24.00,224.48,1
2019-01-20-3,15.05,18.17,28.34,1
2019-01-20-4,8.36,6.14,25.70,1
2019-01-20-5,9.32,7.27,25.23,1
2019-01-20-6,10.30,8.50,23.84,1
2019-01-20-7,14.39,13.36,28.27,1
2019-01-20-8,20.02,19.17,30.74,1
2019-01-20-9,15.80,15.41,29.13,1
2019-01-20-10,13.52,11.71,29.02,1
2019-01-20-11,14.14,12.44,35.50,1
2019-01-20-12,15.11,13.21,35.43,1
2019-01-20-13,14.50,12.53,35.43,1
2019-01-20-14,11.83,9.30,29.83,1
2019-01-20-15,12.26,10.17,28.05,1
2019-01-20-16,22.32,25.31,32.48,1
2019-01-20-17,26.10,27.94,59.05,0
2019-01-20-18,0.00,0.00,0.00,0
2019-01-20-19,0.00,0.00,0.00,0
2019-01-20-20,0.00,0.00,0.00,0
2019-01-20-21,0.00,0.00,0.00,0
2019-01-20-22,0.00,0.00,0.00,0
2019-01-20-23,0.00,0.00,0.00,0
2019-01-21-0,0.00,0.00,0.00,0
2019-01-21-1,0.62,0.00,223.89,0
2019-01-21-2,69.12,28.38,224.48,1
2019-01-21-3,16.16,17.80,28.26,0
2019-01-21-4,4.57,3.39,20.49,0
2019-01-21-5,2.66,2.79,10.58,0
2019-01-21-6,12.49,9.21,225.09,0
2019-01-21-7,14.85,12.62,30.31,1
2019-01-21-8,23.44,21.89,32.32,1
2019-01-21-9,26.15,28.18,36.89,1
2019-01-21-10,26.89,27.57,36.60,0
2019-01-21-11,27.89,28.91,41.70,0
2019-01-21-12,27.27,28.29,36.26,0
2019-01-21-13,25.43,26.73,34.74,0
2019-01-21-14,23.12,23.19,33.59,0
2019-01-21-15,23.17,22.56,218.35,0
2019-01-21-16,22.80,21.22,223.89,0
2019-01-21-17,16.59,21.58,222.89,0
2019-01-21-18,0.00,0.00,0.00,0
2019-01-21-19,0.00,0.00,0.00,0
2019-01-21-20,0.00,0.00,0.00,0
2019-01-21-21,0.00,0.00,0.00,0
2019-01-21-22,0.00,0.00,0.00,0
2019-01-21-23,0.00,0.00,0.00,0
2019-01-22-0,0.00,0.00,0.00,0
2019-01-22-1,0.00,0.00,0.00,0
2019-01-22-2,47.91,29.11,240.36,0
2019-01-22-3,12.79,12.22,27.69,0
2019-01-22-4,15.27,14.35,28.96,0
2019-01-22-5,17.68,16.96,29.15,0
2019-01-22-6,21.13,20.08,246.79,0
2019-01-22-7,35.24,27.29,249.07,0
2019-01-22-8,22.88,23.95,30.93,1
2019-01-22-9,20.57,22.63,30.63,1
2019-01-22-10,15.72,11.80,30.82,1
2019-01-22-11,20.26,22.73,30.23,1
2019-01-22-12,22.65,23.74,30.97,0
2019-01-22-13,20.52,20.62,31.22,0
2019-01-22-14,18.98,18.98,30.73,0
2019-01-22-15,19.17,19.01,31.45,0
2019-01-22-16,16.22,14.87,32.38,0
2019-01-22-17,18.20,19.30,103.54,0
2019-01-22-18,0.00,0.00,0.00,0
2019-01-22-19,0.00,0.00,0.00,0
2019-01-22-20,0.00,0.00,0.00,0
2019-01-22-21,0.00,0.00,0.00,0
2019-01-22-22,0.00,0.00,0.00,0
2019-01-22-23,0.00,0.00,0.00,0
2019-01-23-0,0.00,0.00,0.00,0
2019-01-23-1,0.00,0.00,0.00,0
2019-01-23-2,20.89,16.57,131.28,0
2019-01-23-3,5.29,4.99,27.40,0
2019-01-23-4,6.88,6.59,22.17,0
2019-01-23-5,11.52,10.42,28.39,0
2019-01-23-6,15.45,14.52,31.23,0
2019-01-23-7,24.71,23.60,248.73,0
2019-01-23-8,23.28,17.64,248.73,1
2019-01-23-9,16.28,15.63,31.88,0
2019-01-23-10,64.18,39.93,227.96,0
2019-01-23-11,115.54,118.61,191.74,0
2019-01-23-12,91.31,100.24,162.95,0
2019-01-23-13,24.91,18.12,82.36,1
2019-01-23-14,0.00,0.00,0.00,0
2019-01-23-15,0.00,0.00,0.00,0
2019-01-23-16,0.00,0.00,0.00,0
2019-01-23-17,0.00,0.00,0.00,0
2019-01-23-18,0.00,0.00,0.00,0
2019-01-23-19,0.00,0.00,0.00,0
2019-01-23-20,0.00,0.00,0.00,0
2019-01-23-21,0.00,0.00,0.00,0
2019-01-23-22,0.00,0.00,0.00,0
2019-01-23-23,0.00,0.00,0.00,0
2019-01-24-0,0.00,0.00,0.00,0
2019-01-24-1,0.00,0.00,0.00,0
2019-01-24-2,0.00,0.00,0.00,0
2019-01-24-3,0.00,0.00,0.00,0
2019-01-24-4,5.16,0.00,30.33,0
2019-01-24-5,17.45,17.14,38.80,0
2019-01-24-6,38.41,40.53,85.59,0
2019-01-24-7,40.12,41.48,74.64,0
2019-01-24-8,52.11,51.76,248.39,0
2019-01-24-9,27.32,27.36,248.96,0
2019-01-24-10,31.08,31.50,68.92,0
2019-01-24-11,36.80,39.73,64.12,0
2019-01-24-12,27.17,26.98,63.69,0
2019-01-24-13,21.73,23.20,31.38,0
2019-01-24-14,19.05,19.22,32.09,0
2019-01-24-15,18.74,19.81,29.58,0
2019-01-24-16,19.64,20.57,32.76,0
