segment,mean,median,max,sunlight_contamination,dark_segment
2024-01-20-23,0.0,0.0,0.0,0,1
2024-01-21-0,0.0,0.0,0.0,0,1
2024-01-21-1,0.0,0.0,0.0,0,1
2024-01-21-2,48.65,50.66,232.35,0,0
2024-01-21-3,24.03,21.7,103.97,0,0
2024-01-21-4,22.13,20.45,90.92,0,0
2024-01-21-5,24.73,22.68,116.33,0,0
2024-01-21-6,31.46,29.04,118.35,0,0
2024-01-21-7,66.25,44.42,249.07,0,0
2024-01-21-8,51.15,45.81,224.51,0,0
2024-01-21-9,93.7,79.75,237.06,0,0
2024-01-21-10,72.63,73.28,222.71,0,0
2024-01-21-11,56.28,50.13,198.45,0,0
2024-01-21-12,42.08,41.06,114.61,0,0
2024-01-21-13,46.76,38.57,144.88,0,0
2024-01-21-14,48.48,43.4,137.49,0,0
2024-01-21-15,21.57,19.51,69.73,0,0
2024-01-21-16,16.76,14.71,46.71,0,1
2024-01-21-17,52.54,54.0,169.05,0,0
2024-01-21-18,1.46,0.0,75.12,0,1
2024-01-21-19,0.0,0.0,0.0,0,1
2024-01-21-20,0.0,0.0,0.0,0,1
2024-01-21-21,0.0,0.0,0.0,0,1
2024-01-21-22,0.0,0.0,0.0,0,1
2024-01-21-23,0.0,0.0,0.0,0,1
2024-01-22-0,0.0,0.0,0.0,0,1
2024-01-22-1,0.0,0.0,0.0,0,1
2024-01-22-2,76.25,63.79,239.45,0,0
2024-01-22-3,25.91,23.18,121.73,0,0
2024-01-22-4,24.26,22.34,101.38,0,0
2024-01-22-5,24.85,23.14,138.02,0,0
2024-01-22-6,27.22,25.82,135.47,0,0
2024-01-22-7,36.15,33.56,145.46,0,0
2024-01-22-8,53.2,47.22,157.78,0,0
2024-01-22-9,48.29,43.61,179.55,0,0
2024-01-22-10,35.83,32.87,126.74,0,0
2024-01-22-11,34.99,31.45,110.01,0,0
2024-01-22-12,44.76,43.94,178.57,0,0
2024-01-22-13,60.04,53.16,149.53,0,0
2024-01-22-14,57.5,53.39,133.39,0,0
2024-01-22-15,26.06,23.0,72.26,0,0
2024-01-22-16,22.64,19.08,90.11,0,0
2024-01-22-17,54.06,54.87,168.2,0,0
2024-01-22-18,0.0,0.0,0.0,0,1
2024-01-22-19,0.0,0.0,0.0,0,1
2024-01-22-20,0.0,0.0,0.0,0,1
2024-01-22-21,0.0,0.0,0.0,0,1
2024-01-22-22,0.0,0.0,0.0,0,1
2024-01-22-23,0.0,0.0,0.0,0,1
2024-01-23-0,0.0,0.0,0.0,0,1
2024-01-23-1,0.0,0.0,0.0,0,1
2024-01-23-2,83.42,72.37,239.15,0,0
2024-01-23-3,33.43,29.27,138.95,0,0
2024-01-23-4,31.58,28.75,111.21,0,0
2024-01-23-5,32.76,29.09,138.0,0,0
2024-01-23-6,36.65,34.14,140.78,0,0
2024-01-23-7,39.83,37.83,157.49,0,0
2024-01-23-8,55.62,52.66,157.91,0,0
2024-01-23-9,62.57,59.65,114.42,0,0
2024-01-23-10,54.38,53.36,149.33,0,0
2024-01-23-11,76.82,79.25,202.67,0,0
2024-01-23-12,53.86,53.02,202.67,0,0
2024-01-23-13,43.01,42.7,105.07,0,0
2024-01-23-14,37.01,30.91,90.21,0,0
2024-01-23-15,30.34,24.16,75.19,0,0
2024-01-23-16,28.12,23.56,75.8,0,0
2024-01-23-17,55.35,56.96,167.98,0,0
2024-01-23-18,0.0,0.0,0.0,0,1
2024-01-23-19,0.0,0.0,0.0,0,1
2024-01-23-20,0.0,0.0,0.0,0,1
2024-01-23-21,0.0,0.0,0.0,0,1
2024-01-23-22,0.0,0.0,0.0,0,1
2024-01-23-23,0.0,0.0,0.0,0,1
2024-01-24-0,0.0,0.0,0.0,0,1
2024-01-24-1,0.0,0.0,0.0,0,1
2024-01-24-2,97.59,91.74,239.45,0,0
2024-01-24-3,47.03,42.39,160.01,0,0
2024-01-24-4,36.73,33.1,141.95,0,0
2024-01-24-5,43.55,33.64,217.33,0,0
2024-01-24-6,54.79,50.15,188.02,0,0
2024-01-24-7,54.36,53.2,160.08,0,0
2024-01-24-8,54.54,51.36,160.43,0,0
2024-01-24-9,67.15,66.32,128.91,0,0
2024-01-24-10,133.56,133.06,193.52,0,0
2024-01-24-11,116.86,117.26,216.84,0,0
2024-01-24-12,82.65,81.01,163.42,0,0
2024-01-24-13,46.3,41.31,156.61,0,0
2024-01-24-14,32.17,27.11,123.84,0,0
2024-01-24-15,29.19,26.15,99.83,0,0
2024-01-24-16,29.74,27.78,89.23,0,0
2024-01-24-17,54.28,58.77,165.53,0,0
2024-01-24-18,0.0,0.0,0.0,0,1
2024-01-24-19,0.0,0.0,0.0,0,1
2024-01-24-20,0.0,0.0,0.0,0,1
2024-01-24-21,0.0,0.0,0.0,0,1
2024-01-24-22,0.0,0.0,0.0,0,1
2024-01-24-23,0.0,0.0,0.0,0,1
2024-01-25-0,0.0,0.0,0.0,0,1
2024-01-25-1,0.0,0.0,0.0,0,1
2024-01-25-2,42.9,55.24,159.8,0,0
2024-01-25-3,46.36,48.34,137.55,0,0
2024-01-25-4,59.38,59.82,160.13,0,0
2024-01-25-5,66.78,68.71,160.72,0,0
2024-01-25-6,65.53,60.28,160.28,0,0
2024-01-25-7,65.69,56.91,160.61,0,0
2024-01-25-8,80.0,78.05,162.38,0,0
2024-01-25-9,87.17,85.66,163.32,0,0
2024-01-25-10,103.64,101.9,224.48,0,0
2024-01-25-11,127.78,116.4,249.07,0,0
2024-01-25-12,123.43,126.79,224.48,0,0
2024-01-25-13,122.17,119.3,222.11,0,0
2024-01-25-14,115.07,116.52,211.56,0,0
2024-01-25-15,78.83,74.9,191.64,0,0
2024-01-25-16,49.19,44.79,137.77,0,0
2024-01-25-17,69.48,74.12,169.21,0,0
2024-01-25-18,0.0,0.0,0.0,0,1
2024-01-25-19,0.0,0.0,0.0,0,1
2024-01-25-20,0.0,0.0,0.0,0,1
2024-01-25-21,0.0,0.0,0.0,0,1
2024-01-25-22,0.0,0.0,0.0,0,1
2024-01-25-23,0.0,0.0,0.0,0,1
2024-01-26-0,0.0,0.0,0.0,0,1
2024-01-26-1,0.0,0.0,0.0,0,1
2024-01-26-2,41.58,45.31,223.89,0,0
2024-01-26-3,33.49,27.88,158.73,0,0
2024-01-26-4,30.08,25.96,104.94,0,0
2024-01-26-5,30.83,28.17,148.96,0,0
2024-01-26-6,35.82,33.73,150.57,0,0
2024-01-26-7,34.37,30.84,150.85,0,0
2024-01-26-8,37.5,33.86,159.57,0,0
2024-01-26-9,43.88,39.47,203.27,0,0
2024-01-26-10,57.63,52.53,217.62,0,0
2024-01-26-11,67.3,65.53,161.14,0,0
2024-01-26-12,60.4,55.44,136.28,0,0
2024-01-26-13,59.47,59.08,191.95,0,0
2024-01-26-14,102.33,92.72,228.76,0,0
2024-01-26-15,52.41,48.98,141.81,0,0
2024-01-26-16,33.29,27.88,111.33,0,0
2024-01-26-17,78.69,67.1,237.96,0,0
2024-01-26-18,0.03,0.0,219.78,0,1
2024-01-26-19,0.0,0.0,0.0,0,1
2024-01-26-20,0.0,0.0,0.0,0,1
2024-01-26-21,0.0,0.0,0.0,0,1
2024-01-26-22,0.0,0.0,0.0,0,1
2024-01-26-23,0.0,0.0,0.0,0,1
2024-01-27-0,0.0,0.0,0.0,0,1
2024-01-27-1,0.0,0.0,0.0,0,1
2024-01-27-2,39.39,41.53,233.83,0,0
2024-01-27-3,25.22,21.2,140.35,0,0
2024-01-27-4,24.4,20.45,77.53,0,0
2024-01-27-5,24.43,20.49,128.49,0,0
2024-01-27-6,26.48,22.52,89.53,0,0
2024-01-27-7,32.44,26.81,153.84,0,0
2024-01-27-8,54.01,38.67,239.45,0,0
2024-01-27-9,61.2,54.75,220.64,0,0
2024-01-27-10,43.27,37.72,143.98,0,0
2024-01-27-11,40.53,36.9,149.58,0,0
2024-01-27-12,48.46,37.96,152.2,0,0
2024-01-27-13,46.7,35.57,135.14,0,0
2024-01-27-14,35.3,30.03,128.66,0,0
2024-01-27-15,32.15,26.54,100.31,0,0
2024-01-27-16,26.66,22.6,94.52,0,0
2024-01-27-17,73.29,62.6,237.36,0,0
2024-01-27-18,0.0,0.0,0.0,0,1
2024-01-27-19,0.0,0.0,0.0,0,1
2024-01-27-20,0.0,0.0,0.0,0,1
2024-01-27-21,0.0,0.0,0.0,0,1
2024-01-27-22,0.0,0.0,0.0,0,1
2024-01-27-23,0.0,0.0,0.0,0,1
2024-01-28-0,0.0,0.0,0.0,0,1
2024-01-28-1,0.0,0.0,0.0,0,1
